method,mean_regret,worst_regret,min_cell_precision,best_in_cell,cells,n_range
ebicglasso,0.0897,0.2474,0.624,0,60,all
gopc,0.0381,0.1086,0.87,4,60,all
nonreg_bh,0.0294,0.175,0.9519,25,60,all
nonreg_holm,0.1083,0.2896,0.9821,6,60,all
pc@0.01,0.0392,0.129,0.9167,4,60,all
pc@0.05,0.0192,0.0937,0.7442,21,60,all
ebicglasso,0.0989,0.2474,0.624,0,45,n>=500
gopc,0.0344,0.1086,0.8845,2,45,n>=500
nonreg_bh,0.0097,0.0832,0.9519,25,45,n>=500
nonreg_holm,0.0778,0.2621,0.9902,6,45,n>=500
pc@0.01,0.0344,0.129,0.9306,3,45,n>=500
pc@0.05,0.025,0.0937,0.7915,9,45,n>=500
