method,sensitivity,specificity,precision,mcc,n
ebicglasso,0.8164,0.9172,0.8006,0.7443,all
gopc,0.733,0.9886,0.9566,0.7926,all
nonreg_bh,0.7441,0.9907,0.9613,0.8013,all
nonreg_holm,0.6111,0.9994,0.9967,0.7224,all
pc@0.01,0.7121,0.9971,0.9793,0.7913,all
pc@0.05,0.791,0.9853,0.9202,0.8113,all
ebicglasso,0.5252,0.9566,0.8596,0.61,250
ebicglasso,0.8092,0.9224,0.8086,0.7437,500
ebicglasso,0.9429,0.8996,0.7767,0.7981,1000
ebicglasso,0.9886,0.8904,0.7625,0.8147,2000
gopc,0.4859,0.9898,0.9483,0.6186,250
gopc,0.6861,0.9882,0.9538,0.7619,500
gopc,0.8393,0.9875,0.9586,0.866,1000
gopc,0.9207,0.9887,0.9655,0.9228,2000
nonreg_bh,0.427,0.9943,0.9619,0.5788,250
nonreg_bh,0.6902,0.9918,0.9617,0.7699,500
nonreg_bh,0.8844,0.9889,0.9606,0.8978,1000
nonreg_bh,0.975,0.9879,0.9611,0.957,2000
nonreg_holm,0.2817,0.9995,0.9946,0.4672,250
nonreg_holm,0.5047,0.9994,0.9967,0.654,500
nonreg_holm,0.7443,0.9993,0.9974,0.8261,1000
nonreg_holm,0.9136,0.9994,0.9981,0.9401,2000
pc@0.01,0.4662,0.9965,0.9668,0.6142,250
pc@0.01,0.6577,0.9969,0.9785,0.7559,500
pc@0.01,0.8157,0.9973,0.9848,0.8657,1000
pc@0.01,0.9089,0.9976,0.9871,0.9289,2000
pc@0.05,0.5931,0.9835,0.8927,0.6662,250
pc@0.05,0.7603,0.9851,0.9196,0.7909,500
pc@0.05,0.8763,0.9856,0.9303,0.8726,1000
pc@0.05,0.9341,0.9869,0.9382,0.9154,2000
