strength,method,n,hits,true_edges,recall
.1-.2,gopc,250,35291,85358,0.4134
.1-.2,gopc,500,57174,85358,0.6698
.1-.2,gopc,1000,72211,85358,0.846
.1-.2,gopc,2000,78409,85358,0.9186
.1-.2,nonreg_bh,250,22821,85358,0.2674
.1-.2,nonreg_bh,500,55922,85358,0.6551
.1-.2,nonreg_bh,1000,79195,85358,0.9278
.1-.2,nonreg_bh,2000,85103,85358,0.997
.1-.2,pc@0.01,250,29369,85358,0.3441
.1-.2,pc@0.01,500,51936,85358,0.6084
.1-.2,pc@0.01,1000,70163,85358,0.822
.1-.2,pc@0.01,2000,78142,85358,0.9155
.1-.2,pc@0.05,250,43157,85358,0.5056
.1-.2,pc@0.05,500,63116,85358,0.7394
.1-.2,pc@0.05,1000,75369,85358,0.883
.1-.2,pc@0.05,2000,79739,85358,0.9342
<.1,gopc,250,7916,42287,0.1872
<.1,gopc,500,14415,42287,0.3409
<.1,gopc,1000,22582,42287,0.534
<.1,gopc,2000,29662,42287,0.7014
<.1,nonreg_bh,250,1912,42287,0.0452
<.1,nonreg_bh,500,7448,42287,0.1761
<.1,nonreg_bh,1000,19707,42287,0.466
<.1,nonreg_bh,2000,34060,42287,0.8054
<.1,pc@0.01,250,3306,42287,0.0782
<.1,pc@0.01,500,6754,42287,0.1597
<.1,pc@0.01,1000,13903,42287,0.3288
<.1,pc@0.01,2000,23503,42287,0.5558
<.1,pc@0.05,250,6740,42287,0.1594
<.1,pc@0.05,500,11861,42287,0.2805
<.1,pc@0.05,1000,20035,42287,0.4738
<.1,pc@0.05,2000,28029,42287,0.6628
>=.2,gopc,250,33659,37631,0.8944
>=.2,gopc,500,36549,37631,0.9712
>=.2,gopc,1000,37209,37631,0.9888
>=.2,gopc,2000,37375,37631,0.9932
>=.2,nonreg_bh,250,32595,37631,0.8662
>=.2,nonreg_bh,500,37415,37631,0.9943
>=.2,nonreg_bh,1000,37631,37631,1.0
>=.2,nonreg_bh,2000,37631,37631,1.0
>=.2,pc@0.01,250,33951,37631,0.9022
>=.2,pc@0.01,500,36769,37631,0.9771
>=.2,pc@0.01,1000,37283,37631,0.9908
>=.2,pc@0.01,2000,37396,37631,0.9938
>=.2,pc@0.05,250,35705,37631,0.9488
>=.2,pc@0.05,500,37087,37631,0.9855
>=.2,pc@0.05,1000,37365,37631,0.9929
>=.2,pc@0.05,2000,37443,37631,0.995
